[nan nan nan nan]
[        nan -0.76654177 -0.58203665 -0.86132066]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan -0.10318    -0.0622477  -0.12994878]
[       nan 0.3510786  0.51914586 0.18708367]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -1.9057935  -1.98739194 -1.69941633]
[       nan 0.9783881  1.28535326 0.65792394]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -0.37357203 -0.25476213 -0.44070335]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -0.53220201 -0.32791761 -0.65728988]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 1.70303873 1.86674682 1.44265772]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 0.84138947 1.1390423  0.5386444 ]
[       nan 1.58767146 1.93220173 1.18840397]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.7116013  0.9041747  0.50097718]
[        nan -0.73409473 -0.63979098 -0.7577358 ]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -0.10318    -0.0622477  -0.12994878]
[       nan 0.7116013  0.71166028 0.65792394]
[        nan -0.42043998 -0.20855867 -0.55998289]
[        nan -1.12706447 -0.9670655  -1.17521417]
[        nan -1.00448675 -0.92856261 -0.990017  ]
[        nan -1.20998469 -1.05562213 -1.24427074]
[        nan -1.36500945 -1.40984867 -1.22857607]
[       nan 3.29294384 1.59337634 4.43406288]
[        nan -0.64396405 -0.8323054  -0.44384229]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.84138947 1.1390423  0.5386444 ]
[       nan 0.39794655 0.63465451 0.17452793]
[        nan -0.5430177  -0.35101934 -0.66042881]
[       nan 0.6178654  0.70780999 0.50097718]
[        nan -1.63540148 -1.60236309 -1.53933064]
[        nan -1.09461743 -1.12107703 -0.99315593]
[        nan  0.79812675 -0.44727655  1.75655123]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 1.15504422 1.45091567 0.83056537]
[       nan 1.88330008 1.86674682 1.75655123]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan  0.0842918   0.33048172 -0.12053197]
[        nan -1.27487878 -1.21733425 -1.22543713]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan -0.91435608 -0.8323054  -0.91154362]
[       nan 1.46869897 1.80899249 1.08481911]
[       nan 1.84003735 2.20557221 1.40812943]
[        nan -0.49975497 -0.35101934 -0.58509437]
[       nan 0.54576086 0.82331864 0.28125172]
[        nan -0.54662292 -0.34716905 -0.66984562]
[        nan -0.69804246 -0.50503088 -0.80168089]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 3.68591358 3.79189106 3.32601878]
[        nan -1.12345924 -0.96321521 -1.17207524]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan -0.19331068 -0.0622477  -0.28689553]
[       nan 0.2176852  0.46524182 0.0018865 ]
[        nan -1.63540148 -1.60236309 -1.54246958]
[        nan -1.43711399 -1.37134579 -1.38238389]
[        nan -0.3699668  -0.15850492 -0.5160378 ]
[        nan -1.42629831 -1.3328429  -1.39807856]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.30867794 -0.09305001 -0.4626759 ]
[       nan 1.99145689 2.36728432 1.5399647 ]
[       nan 3.14512953 3.02183336 3.01212527]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan -1.15951151 -1.00171809 -1.20346459]
[        nan -1.36500945 -1.60236309 -1.07162931]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan  0.08068658  0.32663143 -0.12367091]
[       nan 2.34116391 2.7407623  1.84444141]
[       nan -0.5033602 -0.2971153 -0.6321784]
[        nan -1.09461743 -1.21733425 -0.91468256]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 1.86166872 2.22867394 1.42696304]
[        nan -1.20998469 -1.08257415 -1.22543713]
[        nan -0.51057065 -0.3317679  -0.61648372]
[        nan -1.1847481  -1.21733425 -1.07162931]
